22954,33899,46380,491635,180998,28229,28557,45384,44170,43708,0,65150,33954,37484,35305,30872,72981,28843,33841,44156,152204,193852,29099,42002,715154,223123,466696,292454,174004,24108,146631,79847,104769,90698,180830,116894,79191,27658,256179,226054,142074,53901,33466,133086,109105,493775,135053,130079,134521,62450,29369,24579,47084,41691,155309,151506,269593,32404,46808,31888,25979,48273,63489,215158,23410,41225,94224,25123,43874,287985,114755,37952,409209,31586,93968,76545,102092,22591,105017,44512,35134,79947,275974,191214,147725,109699,168049,215100,24270,27247,519570,28167,29193,103064,89825,140646,42824,34367,24572,38956,45227,33022,23198,41850,44961
63754,56053,91448,462253,151300,73009,73181,89276,89788,88452,65150,0,75856,83750,82001,76948,43437,59063,57373,52558,121244,161740,59283,86736,689674,194791,438128,264256,147220,63870,119233,50835,79629,59546,149822,89634,49467,70382,225565,198318,115734,46803,56836,107506,80145,462069,109763,102617,103017,40450,72089,67437,90614,85239,124965,122848,240161,56672,48050,76808,69889,46739,38573,183962,66006,86671,67802,61163,52458,258377,87355,81932,381323,56756,64842,49841,72198,66495,76199,88534,80160,50105,248556,161144,118565,79751,138881,187600,67284,69927,489996,61457,72147,72842,59985,114038,85252,76113,68556,53098,47317,76848,65412,85326,88519
32302,42425,29818,500725,193714,20771,20189,27332,26886,24534,33954,75856,0,22462,21253,15832,84891,39579,43893,53504,163914,206294,40047,24582,726986,233629,478534,302448,186280,34390,160247,91157,117945,101214,192222,130426,90593,23444,269135,237588,151742,66027,45098,145400,121641,503249,149639,144727,145429,75426,25421,30265,27904,22575,166981,162516,281495,43698,58330,14870,26531,60107,76485,227374,29190,25055,108220,38381,56264,299381,126349,19520,423099,43094,105024,91397,113984,30529,114867,25608,18310,91893,289102,204132,159731,120571,179505,227644,31130,25283,530232,39227,21417,112628,97691,152458,25098,14789,27224,51384,57399,15964,30566,23586,27915
38540,50473,18360,508313,199192,27819,26855,16482,16860,15762,37484,83750,22462,0,8491,22644,90811,47123,48847,62052,170418,213778,47035,14652,733894,240281,485690,308766,193160,41690,166139,98105,122679,109038,199374,134042,97661,28580,275803,244008,158738,70553,52298,151886,127847,509555,156269,150301,151875,80572,33355,38007,18476,13207,175051,168064,289093,50654,66124,21776,32797,65615,81537,234816,35262,10837,113036,45039,61694,306221,132547,12352,428931,49956,111612,96939,121724,36475,122785,15646,14844,98277,295826,210654,166505,128269,187729,235250,38396,32357,537396,44531,30339,119328,104745,159054,14916,24479,34876,58428,63939,22630,36840,13274,17213
36451,49962,22087,505700,197335,26642,25276,20063,20495,19137,35305,82001,21253,8491,0,19273,89442,45370,47836,58811,168017,212065,44596,18307,732527,238744,483617,307153,191015,39203,163316,95346,121046,106819,196753,133129,95478,26597,274710,242417,156577,68628,50607,149565,126074,507676,154260,147372,151462,77849,31158,36168,21799,15494,172492,166175,286394,47831,64883,19663,30784,64148,79264,232681,33269,13944,111407,41998,59109,304348,129636,12859,427006,47849,110655,95276,119631,34028,121202,19133,12825,96146,293697,208355,164548,126572,185648,232437,35295,31018,534249,42614,27960,117313,102314,158003,18227,22410,32763,56285,62020,20625,34375,16935,20102
34706,44819,29814,499325,190210,21039,20943,27024,22596,26166,30872,76948,15832,22644,19273,0,84641,40197,43977,53012,161752,206522,39285,26006,727672,233955,478922,301934,186088,33990,158155,90673,116611,101492,190394,128440,89427,22098,268985,237758,152152,64025,43664,144220,121463,502511,148595,141915,146395,74252,25383,29983,29194,24087,166351,160900,281645,43694,59274,14302,25659,58255,74351,226522,28904,24769,104906,35473,55204,298295,123297,20842,422061,43144,104574,89163,114766,28869,115661,24830,18614,91437,288120,203258,159251,120663,178537,227216,30036,24047,530264,39619,22563,112746,96777,152436,26150,16095,27208,50270,55673,16456,29436,25192,28967
71137,64264,98251,457950,145211,80610,80894,96557,96815,96103,72981,43437,84891,90811,89442,84641,0,69502,64072,57349,119127,159111,69236,95001,681963,190328,435063,259883,141487,70089,114768,45068,74336,57751,146165,84637,45370,77773,222150,193459,110281,51148,63789,102257,75512,460622,104388,102742,101862,48031,79182,74824,98311,94190,120780,118889,235276,66797,54231,82999,75854,53032,43558,179527,75343,92678,61405,71084,55867,254690,80162,89445,375354,63919,59637,45450,70413,74172,73122,94409,87131,45024,243609,158115,115118,75964,134024,182353,73963,78036,485619,69650,80868,68363,57682,109571,94709,84516,77089,61575,56934,84753,76189,94057,96946
28911,29782,54757,486064,175119,37516,35696,53085,52895,51483,28843,59063,39579,47123,45370,40197,69502,0,29990,39009,147229,189713,24242,51409,712159,219664,461787,285773,170939,28179,143250,74114,101050,84083,174847,113283,74968,34577,252686,222171,137553,49316,27569,130335,104300,485214,132324,128648,129824,57369,35164,30382,54359,48914,149872,144995,264460,27251,41793,40469,33206,43012,58100,208311,30231,49896,89159,25122,38943,282212,110930,45719,405308,27823,89381,73422,97183,28710,102226,51997,42851,73948,272719,185951,143136,105278,162938,211361,31291,34928,513349,26276,36020,97479,83176,135663,50637,40522,31815,33585,39844,38485,30201,49127,54244
33089,24902,56687,485080,170733,40906,40444,55555,55645,54593,33841,57373,43893,48847,47836,43977,64072,29990,0,36913,144201,186977,26042,53321,708545,217206,461473,283841,169121,31415,138406,71720,98614,82171,172895,110411,71748,37077,248934,218537,132371,47126,24745,129229,102922,484174,130514,126080,126478,56187,39584,35238,57309,52122,148330,142735,263038,26209,40693,41209,34410,37676,56948,207399,35551,52760,86869,30840,35577,280436,109328,48821,402920,24561,85887,71512,97291,34420,98176,54039,46093,71752,268769,182745,142390,102876,159342,209399,35857,38420,510113,30506,40472,93635,82498,134943,54579,43462,37529,30385,36840,44451,35053,52175,57034
44062,35931,68712,477061,165068,51205,51199,67124,68040,65648,44156,52558,53504,62052,58811,53012,57349,39009,36913,0,135806,179998,39125,66562,702158,208837,451884,275290,160254,40724,133643,63487,90641,75428,166078,102272,64091,48714,242531,211816,128588,38915,35128,120016,93629,478655,124125,119587,119983,47700,51095,46837,69368,64321,138603,137712,256189,37310,32370,54730,47225,32835,48697,200294,46034,64653,82344,39761,29098,272519,98341,60086,394393,35240,76920,63927,88722,47279,90609,66730,56920,65635,263280,177164,135495,95507,153027,202240,46176,49623,504254,41351,52075,86776,73035,126760,66206,55005,48534,34130,30279,56290,46214,63664,68779
