113153,324834,919252,400486,3629985,2569418,508490,139850,75079,1521674,104945,169785,0,87771,118882,190626,176993,406261,221039,63086,131626,406018,165872,91108,1952347,155902,316225,121894,147549,417257,108161,117575,2837377,87185,402266,110355,184147,160810,163993,80412,133210,155551,110449,157666,1568815,135984,186000,771472,153249,87093,194276,135045,212147
127840,339305,935203,415271,3645368,2588317,524643,120699,82530,1535129,121548,147500,87771,0,101211,169275,154820,427322,237940,83727,107925,423849,183049,67183,1968726,134051,332686,97093,124300,432224,84806,133854,2855924,65374,418665,125168,202160,137895,140316,96643,110149,135026,88528,135883,1580716,115195,164105,785031,131818,101730,172975,145802,225820
167199,376734,971946,456870,3685417,2625662,562324,61710,119633,1573952,161313,89663,118882,101211,0,109736,95719,460303,274161,117740,49248,461288,222678,95230,2011491,75922,368849,47214,65349,467801,71353,171489,2891643,103809,456980,167143,237869,79574,81695,135254,52852,76053,62943,76976,1617023,55168,104638,826314,73739,141337,113112,185753,265085
227213,440686,1032654,522900,3750033,2690532,627034,82388,184529,1639836,228795,37675,190626,169275,109736,0,27465,528215,342539,186876,100080,528022,290396,162598,2075419,60172,435125,115070,74725,534299,134901,235463,2956983,168571,518170,233339,304567,52580,49213,199964,94154,59551,131881,57860,1683795,91124,15686,892330,65377,210779,11576,253499,330961
215196,429487,1020783,509377,3737938,2678147,615039,68137,170532,1627173,217472,23458,176993,154820,95719,27465,0,514188,330588,174109,85565,513971,277707,151405,2063628,49033,422400,101487,61682,520518,122946,223638,2943982,154542,505953,220038,291286,39303,35810,186909,79821,44076,118262,45939,1671752,77261,22065,879619,51360,197962,32145,240468,317626
383808,240061,693749,190611,3410468,2341899,287185,481905,415558,1296485,386798,508424,406261,427322,460303,528215,514188,0,304118,410359,469799,183723,343165,431859,1714304,495083,252642,459007,486486,193922,445184,382984,2619230,425266,193617,385064,335570,498889,501610,406853,474433,495402,449898,496767,1343940,476157,522423,554085,490678,397344,532313,368520,318324
203078,224859,818277,297835,3530414,2470569,405483,294869,227816,1419337,203062,323124,221039,237940,274161,342539,330588,304118,0,221263,285019,307153,162301,242667,1847984,309493,205548,273377,299626,316600,258826,198208,2738154,238710,307355,201466,152336,313361,313754,220035,287097,310336,263826,311087,1470942,288789,337795,671831,306908,212816,346875,186740,134826
117997,326442,922858,401778,3632617,2574678,507144,137136,74053,1519758,105897,166537,63086,83727,117740,186876,174109,410359,221263,0,125896,404560,169586,88158,1955013,152972,316771,117218,143773,415839,103725,121267,2839377,84165,405556,116221,189183,158312,161123,83096,130184,152753,109271,154324,1570071,133484,182250,773998,149227,87927,190526,135643,209711
172451,383534,979352,460578,3690893,2631578,568238,48762,126703,1579950,168863,80047,131626,107925,49248,100080,85565,469799,285019,125896,0,465032,230582,104572,2016563,64222,375529,55378,56019,474903,77709,178967,2898831,110409,461678,174651,246955,69852,71669,142004,42842,64751,70407,68180,1626719,43176,93872,834434,62601,147141,103324,193241,271729
383793,242298,689324,182946,3400603,2342876,285056,479254,406645,1291054,383193,508713,406018,423849,461288,528022,513971,183723,307153,404560,465032,0,343170,427662,1715253,494138,249131,456132,483487,192547,443663,377361,2623527,422583,192278,380139,335063,497662,499453,404266,471190,493073,447831,495666,1345337,471830,523602,549972,489997,392789,532526,368737,316845
139107,259668,849992,337092,3563659,2507584,443992,240746,171263,1453714,142739,270133,165872,183049,222678,290396,277707,343165,162301,169586,230582,343170,0,185976,1884187,253538,248277,218254,244511,352061,206353,139539,2777555,180953,344990,139593,122507,262410,263781,161536,231512,255353,207377,257406,1505601,235534,284204,709488,252667,153423,294606,125265,144789
131145,344030,936228,420904,3647683,2585572,526382,116602,90141,1539994,125709,145063,91108,67183,95230,162598,151405,431859,242667,88158,104572,427662,185976,0,1971287,128648,338403,94176,120531,435343,78849,138151,2860991,71159,422996,128895,207201,137126,138297,102822,106832,130535,81103,131602,1586187,110328,158374,790906,125479,107597,167208,152547,228119
1926662,1773985,1366359,1723127,2377568,1304449,1646527,2028669,1958674,963465,1925692,2056588,1952347,1968726,2011491,2075419,2063628,1714304,1847984,1955013,2016563,1715253,1884187,1971287,0,2042229,1782972,2005743,2031464,1715988,1991780,1921462,1611476,1967306,1721889,1923880,1873656,2047107,2049596,1945475,2020933,2043704,1996564,2044947,921422,2021723,2071211,1458863,2039794,1938662,2080397,1911574,1856066
194087,406184,998404,488928,3718581,2657422,593652,48276,152855,1607182,195051,40905,155902,134051,75922,60172,49033,495083,309493,152972,64222,494138,253538,128648,2042229,0,400771,82084,37613,498543,103695,202503,2924493,135327,486038,198767,270349,30896,33893,166158,61794,26839,95897,26992,1650217,56352,53762,858464,29353,174033,65390,219417,297459
286046,167857,753713,239469,3467950,2410321,349649,387037,321362,1358975,291550,414698,316225,332686,368849,435125,422400,252642,205548,316771,375529,249131,248277,338403,1782972,400771,0,365799,391778,256878,352314,286418,2681230,333026,251101,287802,237364,404615,407928,312283,379861,401516,356476,403155,1408912,383003,428321,611405,397100,303122,439293,274532,223192
163645,374164,968494,453640,3680925,2618032,557654,66570,118477,1571938,157071,95921,121894,97093,47214,115070,101487,459007,273377,117218,55378,456132,218254,94176,2005743,82084,365799,0,71027,461349,64499,168597,2881603,99971,451964,161337,236429,85638,87505,129170,56580,79537,56225,83286,1615857,60714,110534,821328,77681,138591,119264,184789,261873
188322,398791,990933,477057,3709014,2647675,583371,38051,141800,1597097,184916,55158,147549,124300,65349,74725,61682,486486,299626,143773,56019,483487,244511,120531,2031464,37613,391778,71027,0,489658,92870,193758,2914610,124682,477221,188848,261562,42067,44670,155559,51261,37660,86980,40651,1641584,45629,68033,848035,35558,165846,79259,210626,287640
390862,248827,690749,201539,3398584,2338323,288655,485029,419870,1292495,393894,514372,417257,432224,467801,534299,520518,193922,316600,415839,474903,192547,352061,435343,1715988,498543,256878,461349,489658,0,448742,385388,2615890,428514,205975,390890,342040,504219,506522,405647,474887,499210,452672,501269,1339484,479337,528465,541351,493830,406038,538131,376052,323072
149498,360873,956171,439257,3667588,2609361,545587,87941,103488,1556775,141264,115888,108161,84806,71353,134901,122946,445184,258826,103725,77709,443663,206353,78849,1991780,103695,352314,64499,92870,448742,0,154134,2874092,85292,440621,147914,222692,105031,107078,117115,78819,101848,56958,106087,1603634,82713,128355,808749,97538,123964,139223,169322,244648
89446,291543,890863,373253,3603786,2545315,476399,189331,123708,1490435,93766,217392,117575,133854,171489,235463,223638,382984,198208,121267,178967,377361,139539,138151,1921462,202503,286418,168597,193758,385388,154134,0,2809858,134216,377051,90002,156816,206445,209436,112023,180029,202466,153442,203869,1538974,183509,230223,733011,198552,105266,239491,103630,178526
2813640,2679435,2290915,2625457,1781332,1219251,2553667,2909069,2840900,1901739,2813656,2938164,2837377,2855924,2891643,2956983,2943982,2619230,2738154,2839377,2898831,2623527,2777555,2860991,1611476,2924493,2681230,2881603,2914610,2615890,2874092,2809858,0,2851910,2622805,2811784,2762198,2927587,2931148,2830179,2900677,2922420,2877746,2925871,1862764,2905049,2952313,2382055,2919082,2826062,2961523,2797768,2749114
128364,339219,934759,416875,3645050,2583859,523711,120435,80102,1535535,121544,149386,87185,65374,103809,168571,154542,425266,238710,84165,110409,422583,180953,71159,1967306,135327,333026,99971,124682,428514,85292,134216,2851910,0,417279,124634,204028,138021,140222,95999,111771,135234,89820,138135,1581896,115459,162521,786229,132270,100710,173437,145042,224324
383511,243952,699458,194530,3408383,2344364,293342,471382,407347,1301324,381571,500185,402266,418665,456980,518170,505953,193617,307355,405556,461678,192278,344990,422996,1721889,486038,251101,451964,477221,205975,440621,377051,2622805,417279,0,371751,333257,490652,492923,397894,463798,486645,441765,486966,1350523,466800,513086,556210,484109,389235,522690,366333,316015
90354,297877,893651,373207,3600922,2540151,480071,182777,114140,1493669,85764,213696,110355,125168,167143,233339,220038,385064,201466,116221,174651,380139,139593,128895,1923880,198767,287802,161337,188848,390890,147914,90002,2811784,124634,371751,0,158594,205271,207828,102791,174665,200914,151620,201241,1539730,178437,228217,740725,196554,98724,237643,105040,184332
162370,249143,845621,323087,3552700,2491043,430979,255577,193222,1446661,162858,283262,184147,202160,237869,304567,291286,335570,152336,189183,246955,335063,122507,207201,1873656,270349,237364,236429,261562,342040,222692,156816,2762198,204028,333257,158594,0,275467,276964,180375,249367,270386,226126,271379,1494118,250303,297721,692879,267360,173538,308959,145796,135970
200357,411254,1005356,493390,3722503,2662392,597714,51638,155851,1612788,200419,32611,160810,137895,79574,52580,39303,498889,313361,158312,69852,497662,262410,137126,2047107,30896,404615,85638,42067,504219,105031,206445,2927587,138021,490652,205271,275467,0,17513,171286,63178,27175,100725,29652,1656673,60862,46782,861230,33919,180661,56558,224499,301953
202854,413953,1006501,496171,3723668,2664217,598765,55251,157530,1613685,202430,29736,163993,140316,81695,49213,35810,501610,313754,161123,71669,499453,263781,138297,2049596,33893,407928,87505,44670,506522,107078,209436,2931148,140222,492923,207828,276964,17513,0,172729,65445,30088,102324,31709,1658320,61297,43597,862647,36318,182132,53217,227050,303136
106973,317876,914876,393250,3624861,2566722,503514,149962,87435,1515058,98675,179935,80412,96643,135254,199964,186909,406853,220035,83096,142004,404266,161536,102822,1945475,166158,312283,129170,155559,405647,117115,112023,2830179,95999,397894,102791,180375,171286,172729,0,143312,165139,118567,168442,1561539,146116,194240,758866,159111,82927,203642,126985,202587
177423,385808,979394,464244,3695585,2636134,570100,46642,129705,1584348,173649,73925,133210,110149,52852,94154,79821,474433,287097,130184,42842,471190,231512,106832,2020933,61794,379861,56580,51261,474887,78819,180029,2900677,111771,463798,174665,249367,63178,65445,143312,0,59441,70489,62168,1629157,41568,89092,832726,56181,151727,98872,198181,274829
197136,408623,1000053,488603,3717902,2657391,592593,47293,152020,1607905,195246,39662,155551,135026,76053,59551,44076,495402,310336,152753,64751,493073,255353,130535,2043704,26839,401516,79537,37660,499210,101848,202466,2922420,135234,486645,200914,270386,27175,30088,165139,59441,0,94968,25985,1651612,56627,53395,857471,28716,174536,64103,218938,296492
